Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
1354,1354.95,1324.1,1329.4,6548565378,158010,4887060
1340.8,1361,1338,1352.05,6160448677,126788,4560337
1346.3,1373.9,1345.9,1354.35,11372027785,131718,8354677
1368,1369,1351.4,1356.35,7361090047,119277,5412357
1358,1359.5,1344.6,1356,6603777602,137376,4879234
1346,1353,1340.15,1348.5,4897445224,145974,3636115
1332.25,1351.3,1321,1343.55,9521361287,130375,7088606
1343,1348.4,1331,1333.8,9800084842,163801,7316262
1355.55,1364.8,1345.15,1351.1,8956080142,203956,6622446
1379,1379,1342.4,1351.35,11618460456,174560,8560766
1340,1379.7,1332.35,1362.55,17005547107,260647,12508028
1365,1370.85,1346.6,1353.75,14785392742,285474,10879878
1332.3,1366.4,1320,1360.75,34145935656,678751,25342491
1433,1435.25,1375,1397.15,20721814130,453578,14855206
1474,1477.55,1415,1425.75,29325012715,477964,20384532
1455,1455,1430.05,1441.05,8723370112,134860,6052712
1430,1451.7,1421,1439.85,8147788509,179859,5654434
1410.25,1434.95,1406.6,1430.2,8361600368,135633,5879234
1423,1426,1406.45,1411.05,8201898840,153955,5793571
1391,1425,1387,1409.9,13336273565,237018,9479572
1380,1391.6,1371,1385.2,7847148795,146481,5675155
1382,1388,1363.3,1368.05,11268677504,218153,8220987
1346.9,1400,1336.15,1385.3,14491356278,227944,10546919
1344.7,1356.7,1332,1336.2,6598564525,138471,4922071
1346.75,1352.5,1327.6,1333.8,11715231221,184200,8749994
1357.85,1370.45,1346.25,1353.75,8328138652,143327,6134303
1372.45,1383.25,1359.6,1371.55,9833991116,164495,7165335
1350.1,1376,1336.1,1370.8,6593605265,129112,4862758
1330,1355.2,1318,1344.45,17111330913,235459,12767112
1393.75,1393.75,1313.5,1337.1,14774234435,298042,10961755
1392.25,1400,1382,1387,10620025456,157640,7626744
1386.05,1406,1380.5,1384,13011543030,230871,9352771
1370,1379.9,1358.5,1373.6,9122082516,174194,6658665
1373,1391.7,1370.05,1374.85,13068374479,199285,9462061
1356.9,1374,1355,1368.15,10820304084,177164,7925984
1329.5,1350.45,1318.75,1345.55,8696584496,144157,6518173
1324.8,1346.1,1317.2,1335.75,6830699262,126809,5119392
1328.5,1340,1305.05,1316.7,8579075404,180930,6486176
1335,1363.85,1325.9,1330.35,16174961452,225028,12041941
1319.2,1347,1308,1343.55,12038222652,189231,9056399
1282.25,1310,1279.2,1304.5,13542927955,182506,10461434
1263.3,1284.5,1259,1267,7320037307,133035,5756286
1269,1274.3,1244.75,1253.3,19014856542,296665,15132388
1288.45,1299.75,1272,1274.55,11279133376,215308,8788221
1260.05,1276.6,1252,1274.3,5740727001,125315,4537258
1271.15,1291,1257.55,1266.35,8404181986,237023,6612942
1295,1308.55,1260,1265.2,9455456934,205288,7371303
1296.1,1299.5,1276.8,1291.3,6943924609,129418,5389696
1276,1306,1275,1292.45,8316445821,178755,6437551
1290.4,1294.5,1275,1281.3,5874133583,142040,4575741
1314,1319.75,1286,1290.4,8951918994,285705,6896421
1320,1328.4,1307.1,1309.65,5748561880,143342,4363513
1305,1323.75,1301.55,1309.8,7608600803,142747,5797875
1289,1296,1283.05,1292.65,6026438863,128045,4673317
1295.8,1304.35,1283.6,1296.5,7697265668,175936,5951207
1306.9,1332,1297.85,1305.55,10498269840,168139,7965949
1285.5,1310,1275.5,1303.55,8943252910,198135,6921922
1286.4,1288.75,1262,1272.1,6956468417,176339,5477481
1285,1293.4,1272.05,1279.35,6446486331,148262,5032240
1277.65,1304,1273,1284.65,10549003464,204774,8182968
1280,1294.4,1263.6,1271.25,8789223157,168360,6892490
1250.55,1277.95,1241,1260.9,11150104432,232672,8880279
1286.25,1291.15,1231,1239.05,15269437395,268406,12183519
1291.8,1296.45,1272.55,1276.2,5979774972,212130,4660690
1319.6,1327.55,1285.1,1301,10646861260,285525,8133665
1345,1347.9,1313,1325.1,8751273547,159466,6542611
1327,1356,1326.55,1340.85,12971261022,188343,9646591
1350,1361.05,1335,1339.7,8257354258,156050,6142421
1320.55,1348.4,1320.55,1339.45,11009221846,195330,8225838
1320,1331,1312,1316.65,7374694216,178275,5585744
1338,1340,1306,1312.05,11702148822,230056,8861765
1360,1364.45,1340,1344.95,20319423540,278300,15018441
1360,1384,1318.45,1370.5,37411219055,530803,27521697
1373.85,1392.8,1360,1387.15,19916243436,304458,14442997
1378,1378,1360,1371.75,11382710088,264378,8309868
1342.1,1383.35,1340,1376.2,28058554926,387124,20528626
1278.25,1316.8,1278.25,1312.1,17117011225,227983,13186251
1296,1297.65,1255.5,1262.15,13875416121,236192,10954918
1300,1302,1268.05,1282.1,9226975582,178942,7161715
1282,1299,1275.05,1293.8,10505964474,168537,8145280
1269,1290,1261.15,1288.25,9214400329,189946,7208454
1257.9,1265.5,1255.8,1260.45,5366530408,97445,4253550
1243,1258.4,1239,1255.8,9283731808,117406,7430470
1253,1253.3,1238.15,1246.8,6480283009,107704,5194690
1235,1254.45,1235,1250.3,8572419679,132402,6878105
1238.45,1248,1236,1240.3,5715406465,123013,4607051
1249.9,1249.9,1226,1236.05,9042415623,172066,7313885
1238,1258.85,1230.55,1253.05,19780713238,277251,15878346
1182,1223.85,1176.1,1220.5,13085219235,249518,10901851
1188,1209.75,1152.05,1177.3,12953347755,246658,10858352
1182.85,1195,1175.6,1189.8,19002082922,279675,15995676
1165.9,1168.9,1156.2,1159.2,7742601947,204147,6658153
1160,1168.9,1153.6,1165.7,9040530195,158579,7788404
1156,1163.7,1152,1154.6,7988669804,177326,6905926
1169.4,1172.6,1148.2,1164.55,7802805824,186990,6728187
1159.7,1171.95,1155.25,1163.2,12306503430,178023,10574009
1157.4,1171.65,1150,1167.75,11046635083,295020,9488782
1168.05,1179.5,1157,1175.2,11745774021,274494,10039346
1145,1167,1145,1153.35,14206387607,272695,12308330
1147.3,1153,1136,1143.5,8899186636,168273,7792141
1125,1137,1115,1134.65,11914725948,167778,10564055
1147,1147,1122.7,1126.45,18298022228,247732,16212632
1134,1147.45,1121,1140.9,7620426543,153925,6741637
1105.05,1140.25,1105.05,1137.85,10087463062,227850,8933802
1118,1121,1091,1100,27934277724,238942,25306145
1119.95,1119.95,1098.3,1113.2,12119904676,207324,10962256
1137,1143.5,1111.25,1115.65,10074223660,220995,8958701
1145,1154.9,1133.35,1140.05,9729744010,175511,8515426
1105,1144.8,1101.95,1139.85,11901155594,200221,10546363
1106,1109,1091.1,1103.35,8885377126,199981,8063554
1100,1114.7,1093.8,1096.75,11123110241,179639,10092343
1128.5,1132.7,1101.45,1110.55,10931765779,168106,9839468
1144.75,1145,1112.65,1123.7,14379842098,190186,12813968
1137,1139.65,1131.1,1133.45,1288640516,41663,1136144
1120,1133,1117,1124.2,7152675713,105048,6363212
1128.1,1142,1113.75,1117.75,10319310973,196511,9180976
1096,1126.35,1087,1122.5,13866920725,254701,12514800
1113.85,1113.85,1078,1091.05,17077941183,395983,15622869
